recipe_id,食材編號,數量
25108843,E4800201,3
25108843,K01001,2.2
25108843,J2300101,0.05
25108843,P0101101,0.01
25108843,P0600701,0.005
25108843,A0320202,0.03
25077235,K01001,1.1
25077235,G1600101,2
25077235,P0700101,0.01
25077235,R0800201,0.15
25077235,M1500101,0.05
25077235,P0700301,0.05
25053078,K02141,1.4
25053078,K01001,1.65
25053078,J2100101,2
25053078,E2100101,0.05
25053078,E23001,0.5
25053078,P0101101,0.05
25053078,P0300101,0.005
25130080,R4700902,4
25130080,K01001,1.65
25130080,E23001,0.1
25130080,P0700101,0.05
25141788,E6800101,3
25141788,K01001,1.1
25141788,E2100101,0.1
25141788,M2700101,0.15
25141788,P0300101,0.03
25141788,P0400301,0.002
25018859,E3100101,3
25018859,K01131,1.2
25018859,E2100101,0.15
25018859,E75006,0.02
25018859,M2700101,0.07
25151521,K01131,1.2
25151521,I03104,4
25151521,E2400101,4
25151521,P1004101,2
25151521,P0700101,0.15
25096649,K01001,2.2
25096649,I03214,5.3
25096649,J0800401,0.1
25173573,K01001,1.65
25173573,E75006,0.1
25013410,I1000101,2
25013410,K01001,2.2
25013410,M2700101,0.08
25013410,P0101301,0.005
25013410,P0101101,0.005
25013410,P0100401,0.005
22591512,E2900101,0.8
22591512,K01001,1.1
22591512,M1100101,0.15
22591512,P0300101,0.03
25097358,A0550601,4.5
25097358,M1500201,0.14
25097358,P0700101,0.16
25097358,K0110101,1
25097358,C1610101,0.06
25097358,J0800401,0.02
25069191,K01001,1.75
25069191,P0300101,0.03
25069191,M1100101,0.45
25087575,K01001,2.2
25087575,E23001,20
25087575,E1900101,15
25087575,E2100101,20
23940654,K01001,1.1
23940654,P0101101,0.02
23940654,M1100101,0.15
23940654,P0300101,0.03
23940654,E2700101,0.2
24645077,E6400201,1.2
24645077,E74001,1.4
24645077,K01001,1.1
24645077,P1003501,0.1
24645077,P0300101,0.03
24645077,A0810101,0.2
24645077,P0101101,0.02
24645077,C1610201,0.05
25019659,E3100101,2
25019659,K0213101,1
25019659,E2100101,0.1
25019659,P0300101,0.03
25008877,R6900101,1.85
25008877,K0111101,1
25008877,A0550601,1.5
25008877,F9900201,0.09
24994352,R5100801,2
24994352,K01001,1.65
24994352,P0700101,0.25
24994352,A0550601,4.5
24994352,E2400101,1.5